2026/1/10,15:40:15,,,
Soft ware,IL STS,Ver.4.7.3,,
TSL,SANTEC,TSL-710,20090003,0003.0051,,,
PowerMeter,SANTEC,MPM-210,20090002,Ver.1.12,,,
 ,Module1,MPM-211,20090004,20090004M211
PowerMonitor,USB-6210 22435060,,,
Start,1545.000000,nm,,
Stop,1555.000000,nm,,
Step,0.000100,nm,,
Speed,1.000000,nm/s,,
Source power,-10.000000,dBm,,
Averaging Time,0.000100,s,,
Power meter range,,dBm,,
TSL PM- range,0,,,
Wavelength(nm),IL Module1_CH1,,,
1545.00000000,-6.44898745,,,
1545.00010000,-6.45054332,,,
1545.00020000,-6.45306009,,,
1545.00030000,-6.45383628,,,
1545.00040000,-6.45545437,,,
1545.00050000,-6.45562619,,,
1545.00060000,-6.45504380,,,
1545.00070000,-6.45518122,,,
1545.00080000,-6.45546780,,,
1545.00090000,-6.45496043,,,
1545.00100000,-6.45581367,,,
1545.00110000,-6.45715200,,,
1545.00120000,-6.45761154,,,
1545.00130000,-6.45743989,,,
1545.00140000,-6.45793186,,,
1545.00150000,-6.46012713,,,
1545.00160000,-6.45740559,,,
1545.00170000,-6.45902986,,,
1545.00180000,-6.45957871,,,
1545.00190000,-6.45925177,,,
1545.00200000,-6.45733724,,,
1545.00210000,-6.45569764,,,
1545.00220000,-6.45529075,,,
1545.00230000,-6.45474121,,,
1545.00240000,-6.45563184,,,
1545.00250000,-6.45593693,,,
1545.00260000,-6.45431765,,,
1545.00270000,-6.45560797,,,
1545.00280000,-6.45336766,,,
1545.00290000,-6.45236740,,,
1545.00300000,-6.45065600,,,
1545.00310000,-6.44990504,,,
1545.00320000,-6.45092471,,,
1545.00330000,-6.45184397,,,
1545.00340000,-6.45543209,,,
1545.00350000,-6.45469040,,,
1545.00360000,-6.45480750,,,
1545.00370000,-6.45713994,,,
1545.00380000,-6.45883499,,,
1545.00390000,-6.45883522,,,
1545.00400000,-6.45721687,,,
1545.00410000,-6.45631539,,,
1545.00420000,-6.45876056,,,
1545.00430000,-6.45891172,,,
1545.00440000,-6.45757269,,,
1545.00450000,-6.45682110,,,
1545.00460000,-6.45304644,,,
1545.00470000,-6.45276682,,,
1545.00480000,-6.45564974,,,
1545.00490000,-6.45662292,,,
1545.00500000,-6.45443516,,,
1545.00510000,-6.45379861,,,
1545.00520000,-6.45409075,,,
1545.00530000,-6.45302368,,,
1545.00540000,-6.45364178,,,
1545.00550000,-6.45476560,,,
1545.00560000,-6.45610416,,,
1545.00570000,-6.45638991,,,
1545.00580000,-6.45666293,,,
1545.00590000,-6.45566634,,,
1545.00600000,-6.45566059,,,
1545.00610000,-6.45544055,,,
1545.00620000,-6.45599122,,,
